SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
PIX_SiN_Step,PIX2_STARTTIME,PIX2.Step_Ave,PIX2_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX2 - SiN段差(EML),PIX形成 PIXホトエッチ PIX2 - SiN段差(EML),,OK
PIX_SiN_Step,PIX3_STARTTIME,PIX3.Step_Ave,PIX3_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX3 - SiN段差(EML),PIX形成 PIXホトエッチ PIX3 - SiN段差(EML),,OK
P-electrode_SiN_Step,STARTTIME,SiN.Step_Average,STARTTIME,1/1/2010,1/1/2100,-,,,200,250,-,p電極形成 段差測定,p電極形成 段差測定,,OK
P-electrode_InP_Step,STARTTIME,Etching.Step_Average,STARTTIME,1/1/2010,1/1/2100,-,260,270,390,400,-,p電極形成 劈開代段差,p電極形成 劈開代段差,,OK
BJ1_CVD_EtchingRate_Merge,STARTTIME,Rate.Rate_Ave,STARTTIME,1/1/2010,1/1/2100,-,28,29,41,42,DryEtch,BJ成長 BJホト・エッチ エッチングレート,BJ成長 BJホト・エッチ エッチングレート,,OK
BJ1_CVD_EtchingRate_Merge,STARTTIME,Time.Time,STARTTIME,1/1/2010,1/1/2100,-,7,,,11,DryEtch,BJ成長 BJホト・エッチ エッチ時間,BJ成長 BJホト・エッチ エッチ時間,,OK
BJ1_Crystal_Depth,STARTTIME,First.Rate,STARTTIME,1/1/2010,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",26.5,,,32,-,BJ1(LD)成長 活性層エッチ1 本エッチレート,BJ1(LD)成長 活性層エッチ1 本エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Second.Rate,STARTTIME,1/1/2010,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",18.5,,,25,-,BJ1(LD)成長 活性層エッチ1 追加エッチレート,BJ1(LD)成長 活性層エッチ1 追加エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Depth,STARTTIME,1/1/2010,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",347,,,387,-,BJ1(LD)成長 活性層エッチ1 エッチング深さ,BJ1(LD)成長 活性層エッチ1 エッチング深さ,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Error,STARTTIME,1/1/2010,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",-20,,,20,-,BJ1(LD)成長 活性層エッチ1 狙い誤差,BJ1(LD)成長 活性層エッチ1 狙い誤差,,OK
BJ1_Crystal_Depth,STARTTIME,First.Rate,STARTTIME,1/1/2010,1/1/2100,HL13B6,26,,,32,-,BJ1(LD)成長 活性層エッチ1 本エッチレート,BJ1(LD)成長 活性層エッチ1 本エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Second.Rate,STARTTIME,1/1/2010,1/1/2100,HL13B6,18,,,25,-,BJ1(LD)成長 活性層エッチ1 追加エッチレート,BJ1(LD)成長 活性層エッチ1 追加エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Depth,STARTTIME,1/1/2010,1/1/2100,HL13B6,377,,,417,-,BJ1(LD)成長 活性層エッチ1 エッチング深さ,BJ1(LD)成長 活性層エッチ1 エッチング深さ,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Error,STARTTIME,1/1/2010,1/1/2100,HL13B6,-20,,,20,-,BJ1(LD)成長 活性層エッチ1 狙い誤差,BJ1(LD)成長 活性層エッチ1 狙い誤差,,OK
BJ1_Crystal_Depth,STARTTIME,First.Rate,STARTTIME,1/1/2010,1/1/2100,HL15B5,22,,,28,-,BJ1(LD)成長 活性層エッチ1 本エッチレート,BJ1(LD)成長 活性層エッチ1 本エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Second.Rate,STARTTIME,1/1/2010,1/1/2100,HL15B5,17,,,24,-,BJ1(LD)成長 活性層エッチ1 追加エッチレート,BJ1(LD)成長 活性層エッチ1 追加エッチレート,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Depth,STARTTIME,1/1/2010,1/1/2100,HL15B5,347,,,387,-,BJ1(LD)成長 活性層エッチ1 エッチング深さ,BJ1(LD)成長 活性層エッチ1 エッチング深さ,,OK
BJ1_Crystal_Depth,STARTTIME,Final.Error,STARTTIME,1/1/2010,1/1/2100,HL15B5,-20,,,20,-,BJ1(LD)成長 活性層エッチ1 狙い誤差,BJ1(LD)成長 活性層エッチ1 狙い誤差,,OK
BJ2_Crystal_Depth,STARTTIME,First.Rate,STARTTIME,1/1/2010,1/1/2100,-,28,,,35,-,BJ2(WG)成長 活性層エッチ2 本エッチレート,BJ2(WG)成長 活性層エッチ2 本エッチレート,,OK
BJ2_Crystal_Depth,STARTTIME,Second.Rate,STARTTIME,1/1/2010,1/1/2100,-,19,,,26,-,BJ2(WG)成長 活性層エッチ2 追加エッチレート,BJ2(WG)成長 活性層エッチ2 追加エッチレート,,OK
BJ2_Crystal_Depth,STARTTIME,Final.Depth,STARTTIME,1/1/2010,1/1/2100,-,390,,,430,-,BJ2(WG)成長 活性層エッチ2 エッチング深さ,BJ2(WG)成長 活性層エッチ2 エッチング深さ,,OK
BJ2_Crystal_Depth,STARTTIME,Final.Error,STARTTIME,1/1/2010,1/1/2100,-,-20,,,20,-,BJ2(WG)成長 活性層エッチ2 狙い誤差,BJ2(WG)成長 活性層エッチ2 狙い誤差,,OK
MESA_CVD_EtchingRate,STARTTIME,Rate.Rate_Ave,STARTTIME,1/1/2010,1/1/2100,-,30,31,34,35,-,メサ形成 SiO2ドライエッチングレート(EML),メサ形成 SiO2ドライエッチングレート(EML),,OK
MESA_CVD_EtchingRate,STARTTIME,Time.Time,STARTTIME,1/1/2010,1/1/2100,-,17,,,21,-,メサ形成 SiO2ドライエッチング時間(EML),メサ形成 SiO2ドライエッチング時間(EML),,OK
ISO-EML_ISO_Step,STARTTIME,Resist.Resist_Ave,STARTTIME,1/1/2010,1/1/2100,-,3300,,,3900,-,分離溝形成 レジスト膜厚,分離溝形成 レジスト膜厚,,OK
ISO-EML_ISO_Step,STARTTIME,Step_Step,STARTTIME,1/1/2010,1/1/2100,-,,,,3000,-,分離溝形成 分離溝段差,分離溝形成 分離溝段差,,OK
ISO-EML_ISO_Step,STARTTIME,Y1.Y1_Ave,STARTTIME,1/1/2010,1/1/2100,-,900,945,1255,1300,-,分離溝形成 分離溝エッチ量：Y1,分離溝形成 分離溝エッチ量：Y1,,OK
ISO-EML_ISO_Step,STARTTIME,Y2.Y2_Ave,STARTTIME,1/1/2010,1/1/2100,-,1200,1235,1565,1600,-,分離溝形成 分離溝エッチ量：Y2,分離溝形成 分離溝エッチ量：Y2,,OK
MESA_Crystal_Depth_ICP,STARTTIME,Etching.Etching_Rate,STARTTIME,1/1/2010,1/1/2100,-,,,,,-,メサ形成 メサエッチ エッチング深さ,メサ形成 メサエッチ エッチング深さ,,OK
SEM-EML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,-,1.44,,,1.64,PARTNUMBER,先行SEM評価 メサ幅平均(EML),先行SEM評価 メサ幅平均(EML),,
SEM-EML_All_Data,STARTTIME,MESA.Height_Ave,STARTTIME,1/1/2010,1/1/2100,-,3.6,,,4.2,PARTNUMBER,先行SEM評価 メサ高さ平均(EML),先行SEM評価 メサ高さ平均(EML),,
SEM-EML_All_Data,STARTTIME,Contact.Width_Ave,STARTTIME,1/1/2010,1/1/2100,-,0.8,0.97,,,PARTNUMBER,先行SEM評価 コンタクト上幅平均(EML),先行SEM評価 コンタクト上幅平均(EML),,
SEM-EML_All_Data,STARTTIME,Contact.Degree_Ave,STARTTIME,1/1/2010,1/1/2100,-,58,,,,PARTNUMBER,先行SEM評価 コンタクト角度平均(EML),先行SEM評価 コンタクト角度平均(EML),,
SEM-EML_All_Data,STARTTIME,Ru.Thickness_Ave,STARTTIME,1/1/2010,1/1/2100,-,6.9,,,7.9,PARTNUMBER,先行SEM評価 埋め込み膜厚平均(EML),先行SEM評価 埋め込み膜厚平均(EML),,
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,HL13BE,1.35,,,1.52,-,先行SEM評価 メサ幅平均(DML)_HL13BE,先行SEM評価 メサ幅平均(DML)_HL13BE,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,HL13BFCP,1.3,,,1.5,-,先行SEM評価 メサ幅平均(DML)_HL13BFCP,先行SEM評価 メサ幅平均(DML)_HL13BFCP,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,HL13BS,1.4,,,1.6,-,先行SEM評価 メサ幅平均(DML)_HL13BS,先行SEM評価 メサ幅平均(DML)_HL13BS,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,9/22/2021,HL13CG,1.4,,,1.6,-,先行SEM評価 メサ幅平均(DML)_HL13CG,先行SEM評価 メサ幅平均(DML)_HL13CG,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,9/23/2021,1/1/2100,HL13CG,1.35,,,1.55,-,先行SEM評価 メサ幅平均(DML)_HL13CG,先行SEM評価 メサ幅平均(DML)_HL13CG,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,HL1363,1.4,,,1.6,-,先行SEM評価 メサ幅平均(DML)_HL1363,先行SEM評価 メサ幅平均(DML)_HL1363,,OK
SEM-DML_All_Data,STARTTIME,MESA.Width_Ave,STARTTIME,1/1/2010,1/1/2100,HTL139S,1.4,,,1.6,-,先行SEM評価 メサ幅平均(DML)_HTL139S,先行SEM評価 メサ幅平均(DML)_HTL139S,,OK
SEM-DML_All_Data,STARTTIME,MESA.Height_Ave,STARTTIME,1/1/2010,1/1/2100,-,1.3,,,2.3,PARTNUMBER,先行SEM評価 メサ高さ平均(DML),先行SEM評価 メサ高さ平均(DML),,OK
SEM-DML_All_Data,STARTTIME,SiO2.Height_Ave,STARTTIME,1/1/2010,1/1/2100,-,1.3,,,2.1,PARTNUMBER,先行SEM評価 SiO2高さ 平均(DML),先行SEM評価 SiO2高さ 平均(DML),,OK
SEM-DML_All_Data,STARTTIME,SiO2.Thickness_Ave,STARTTIME,1/1/2010,1/1/2100,-,0.1,,,0.5,PARTNUMBER,先行SEM評価 SiO2膜厚平均(DML),先行SEM評価 SiO2膜厚平均(DML),,OK
SEM-DML_All_Data,STARTTIME,Wmi.Width_Ave,STARTTIME,1/1/2010,1/1/2100,-,3.5,,,5.5,PARTNUMBER,先行SEM評価 Wmi平均(DML),先行SEM評価 Wmi平均(DML),,OK
SEM-DML_All_Data,STARTTIME,ISO.Depth_Ave,STARTTIME,1/1/2010,1/1/2100,-,0.8,,,2,PARTNUMBER,先行SEM評価 ISO深さ平均(DML),先行SEM評価 ISO深さ平均(DML),,OK
SEM-DML_All_Data,STARTTIME,SiO2.EtchingDepth_Ave,STARTTIME,1/1/2010,1/1/2100,-,0.01,,,0.25,PARTNUMBER,先行SEM評価 SiO2エッチング深さ平均(DML),先行SEM評価 SiO2エッチング深さ平均(DML),,OK
T1-DML,STARTTIME,PL-Wavelength-Center,STARTTIME,1/1/2010,1/1/2100,-,,,,,-,第一多層成長 PL波長差 中心部 ,第一多層成長 PL波長差 中心部 ,,OK
T1-DML,STARTTIME,PL-Intensity,STARTTIME,1/1/2010,1/1/2100,-,10000,,,,-,第一多層成長 PL強度,第一多層成長 PL強度,,OK
T1-DML,STARTTIME,PL-Intensity_Rate,STARTTIME,1/1/2010,1/1/2100,-,,,,,-,第一多層成長 PL強度比 面内分布,第一多層成長 PL強度比 面内分布,,Ok
T1-DML,STARTTIME,PL-Intensity_Rate_Calk,STARTTIME,1/1/2010,1/1/2100,-,,,0.39,,-,第一多層成長 PL強度比凹凸,第一多層成長 PL強度比凹凸,,OK
T1-DML,STARTTIME,XRD-Strain,STARTTIME,1/1/2010,1/1/2100,-,-0.36,,,-0.26,-,第一多層成長  X線回折 MQW厚(Lw+Lb) ,第一多層成長  X線回折 MQW厚(Lw+Lb) ,,OK
T1-DML,STARTTIME,XRD-Thickness,STARTTIME,1/1/2010,1/1/2100,-,18.4,,,19.6,-,第一多層成長  X線回折 平均歪,第一多層成長  X線回折 平均歪,,OK
EA-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Lambda_Diff,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,EA多層成長 PL波長差 (A)(B)(C)(D)平均,EA多層成長 PL波長差 (A)(B)(C)(D)平均,,OK
EA-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Intensity,Format2_STARTTIME,1/1/2010,1/1/2100,-,55000,,,5000,-,EA多層成長 PL強度 面内(A)(B)(C)(D)平均,EA多層成長 PL強度 面内(A)(B)(C)(D)平均,,OK
EA-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_FWHM,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,33,-,EA多層成長 PL半値幅 面内(A)(B)(C)(D)平均,EA多層成長 PL半値幅 面内(A)(B)(C)(D)平均,,OK
EA-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Tails,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,EA多層成長 PL裾引き 面内(A)(B)(C)(D)平均,EA多層成長 PL裾引き 面内(A)(B)(C)(D)平均,,OK
EA-EML_F1,FORMAT1_STARTTIME,PL_Wavelength,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,F1EA多層成長  X線回折 PL波長,F1EA多層成長  X線回折 PL波長,,OK
EA-EML_F1,FORMAT1_STARTTIME,PL_Intensity,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,5000,,,55000,-,F1EA多層成長  X線回折 PL強度,F1EA多層成長  X線回折 PL強度,,OK
EA-EML_F1,FORMAT1_STARTTIME,PL_FWHM,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,33,-,F1EA多層成長  SEM 半値幅,F1EA多層成長  SEM 半値幅,,OK
EA-EML_F1,FORMAT1_STARTTIME,Xray_Thickness,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,14.4,,,15.6,-,F1EA多層成長  X線回折 MQW周期膜厚,F1EA多層成長  X線回折 MQW周期膜厚,,OK
EA-EML_F1,FORMAT1_STARTTIME,Xray_Strain,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,0.16,,,0.22,-,F1EA多層成長  X線回折 平均歪,F1EA多層成長  X線回折 平均歪,,OK
EA-EML_F1,FORMAT1_STARTTIME,Thickness_Cap,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,F1EA多層成長  SEM InPキャップSEM,F1EA多層成長  SEM InPキャップSEM,,OK
EA-EML_F1,FORMAT1_STARTTIME,Thickness_Core,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,322,,,372,-,F1EA多層成長  SEM 活性層膜厚,F1EA多層成長  SEM 活性層膜厚,,OK
LD-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Lambda_Diff,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,LD多層成長 PL波長差 (A)(B)(C)(D)平均,LD多層成長 PL波長差 (A)(B)(C)(D)平均,,OK
LD-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Center-ABCD_Diff,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,LD多層成長 PL波長外周部(中心部平均 -外周部4点)最大差,LD多層成長 PL波長外周部(中心部平均 -外周部4点)最大差,,OK
LD-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_Intensity,Format2_STARTTIME,1/1/2010,1/1/2100,-,5000,,,55000,-,LD多層成長 PL強度 面内中心部平均,LD多層成長 PL強度 面内中心部平均,,OK
LD-EML_QC,Format2_STARTTIME,Mapper_Average_Mapper_PL_FWHM,Format2_STARTTIME,1/1/2010,1/1/2100,-,,,,33.1,-,LD多層成長 PL半値幅 面内中心部平均,LD多層成長 PL半値幅 面内中心部平均,,OK
LD-EML_F1,FORMAT1_STARTTIME,PL_Wavelength,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,F1LD多層成長 PL波長,F1LD多層成長 PL波長,,OK
LD-EML_F1,FORMAT1_STARTTIME,PL_Intensity,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,5000,,,55000,-,F1LD多層成長 PL強度,F1LD多層成長 PL強度,,OK
LD-EML_F1,FORMAT1_STARTTIME,PL_FWHM,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,33.1,-,F1LD多層成長 PL半値幅,F1LD多層成長 PL半値幅,,OK
LD-EML_F1,FORMAT1_STARTTIME,Xray_Thickness,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,15.4,,,16.6,-,F1LD多層成長 X線回折 MQW周期膜厚,F1LD多層成長 X線回折 MQW周期膜厚,,OK
LD-EML_F1,FORMAT1_STARTTIME,Xray_Strain,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,0.25,,,0.313,-,F1LD多層成長  X線回折 平均歪,F1LD多層成長  X線回折 平均歪,,OK
LD-EML_F1,FORMAT1_STARTTIME,Thickness_InP_Spacer1,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,67,,,83,-,F1LD多層成長 SEM InPスペーサ厚,F1LD多層成長 SEM InPスペーサ厚,,OK
LD-EML_F1,FORMAT1_STARTTIME,Thickness_Core,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,302.8,,,337.2,-,F1LD多層成長 SEM 活性層膜厚,F1LD多層成長 SEM 活性層膜厚,,OK
LD-EML_F2,FORMAT1_STARTTIME,PL_Wavelength,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,F2LD多層成長 PL波長,F2LD多層成長 PL波長,,OK
LD-EML_F2,FORMAT1_STARTTIME,PL_Intensity,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,5000,,,55000,-,F2LD多層成長 PL強度,F2LD多層成長 PL強度,,OK
LD-EML_F2,FORMAT1_STARTTIME,PL_FWHM,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,33.1,-,F2LD多層成長 PL半値幅,F2LD多層成長 PL半値幅,,OK
LD-EML_F2,FORMAT1_STARTTIME,Xray_Thickness,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,15.4,,,16.6,-,F2LD多層成長 X線回折 MQW周期膜厚,F2LD多層成長 X線回折 MQW周期膜厚,,OK
LD-EML_F2,FORMAT1_STARTTIME,Xray_Strain,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,0.25,,,0.313,-,F2LD多層成長  X線回折 平均歪,F2LD多層成長  X線回折 平均歪,,OK
LD-EML_F2,FORMAT1_STARTTIME,Thickness_InP_Spacer1,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,67.5,,,82.5,-,F2LD多層成長 SEM InPスペーサ厚,F2LD多層成長 SEM InPスペーサ厚,,OK
LD-EML_F2,FORMAT1_STARTTIME,Thickness_Core,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,300,,,352,-,F2LD多層成長 SEM 活性層膜厚,F2LD多層成長 SEM 活性層膜厚,,OK
LD-EML_F6,FORMAT1_STARTTIME,PL_Wavelength,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,-,F6LD多層成長 PL波長,F6LD多層成長 PL波長,,OK
LD-EML_F6,FORMAT1_STARTTIME,PL_Intensity,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,5000,,,55000,-,F6LD多層成長 PL強度,F6LD多層成長 PL強度,,OK
LD-EML_F6,FORMAT1_STARTTIME,PL_FWHM,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,33.1,-,F6LD多層成長 PL半値幅,F6LD多層成長 PL半値幅,,OK
LD-EML_F6,FORMAT1_STARTTIME,Xray_Thickness,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,15.4,,,16.6,-,F6LD多層成長 X線回折 MQW周期膜厚,F6LD多層成長 X線回折 MQW周期膜厚,,OK
LD-EML_F6,FORMAT1_STARTTIME,Xray_Strain,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,0.25,,,0.313,-,F6LD多層成長  X線回折 平均歪,F6LD多層成長  X線回折 平均歪,,OK
LD-EML_F6,FORMAT1_STARTTIME,Thickness_InP_Spacer1,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,67.5,,,82.5,-,F6LD多層成長 SEM InPスペーサ厚,F6LD多層成長 SEM InPスペーサ厚,,OK
LD-EML_F6,FORMAT1_STARTTIME,Thickness_Core,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,307,,,345,-,F6LD多層成長 SEM 活性層膜厚,F6LD多層成長 SEM 活性層膜厚,,OK
WG-EML_QC,STARTTIME,Wavelength_WG,STARTTIME,1/1/2010,1/1/2100,-,1143,,,1163,MOCVD,WG成長 WG多層成長 組成,WG成長 WG多層成長 組成,,OK
WG-EML_QC,STARTTIME,Straing_WG,STARTTIME,1/1/2010,1/1/2100,-,0,,,-0.15,MOCVD,WG成長 WG多層成長 歪,WG成長 WG多層成長 歪,,OK
WG-EML_QC,STARTTIME,Thickness_Cap,STARTTIME,1/1/2010,1/1/2100,-,99,,,119,MOCVD,WG成長 WG多層成長 InPキャップ膜厚,WG成長 WG多層成長 InPキャップ膜厚,,OK
WG-EML_QC,STARTTIME,Thickness_Core,STARTTIME,1/1/2010,1/1/2100,-,327,,,387,MOCVD,WG成長 WG多層成長 活性層膜厚,WG成長 WG多層成長 活性層膜厚,,OK
T2-EML_QC,STARTTIME,CarrierConcentration_Clad,STARTTIME,1/1/2010,1/1/2100,-,1.00E+18,,,1.40E+18,MOCVD,第二多層成長(EML) ポラロン p-InP clad.(2),第二多層成長(EML) ポラロン p-InP clad.(2),TRUE,OK
T2-EML_QC,STARTTIME,CarrierConcentration_Contact,STARTTIME,1/1/2010,1/1/2100,-,1.00E+19,,,2.00E+19,MOCVD,第二多層成長(EML) ポラロン p-InGaAsコンタクト,第二多層成長(EML) ポラロン p-InGaAsコンタクト,TRUE,OK
T2-EML_QC,STARTTIME,CarrierConcentration_Minimum,STARTTIME,1/1/2010,1/1/2100,-,,,,,MOCVD,第二多層成長(EML) ポラロン p-InGaA Minimum,第二多層成長(EML) ポラロン p-InGaA Minimum,TRUE,OK
T2-EML_QC,STARTTIME,Thickness_Clad,STARTTIME,1/1/2010,1/1/2100,-,1425,,,1575,MOCVD,第二多層成長(EML) SEM p-InP膜厚,第二多層成長(EML) SEM p-InP膜厚,,OK
T2-EML_QC,STARTTIME,Thickness_Contact,STARTTIME,1/1/2010,1/1/2100,-,234,,,286,MOCVD,第二多層成長(EML) SEM p-InGaAs膜厚,第二多層成長(EML) SEM p-InGaAs膜厚,,OK
Ru-EML_F3,STARTTIME,Particles.Particles,STARTTIME,1/1/2010,1/1/2100,-,,,200,1852,OPERATION,異物数中央平均(F3炉),異物数中央平均(F3炉),TRUE,OK
Ru-EML_F3,STARTTIME,Thickness.Thickness_Total,STARTTIME,1/1/2010,1/1/2100,-,2367,2431.354515,2702.641563,2767,OPERATION,Ru埋込み成長 膜厚(F3炉),Ru埋込み成長 膜厚(F3炉),,OK
Ru-EML_F4,STARTTIME,Particles.Particles,STARTTIME,1/1/2010,1/1/2100,-,,,200,1852,OPERATION,異物数中央平均(F4炉),異物数中央平均(F4炉),TRUE,OK
Ru-EML_F4,STARTTIME,Thickness.Thickness_Total,STARTTIME,1/1/2010,1/1/2100,-,2357,2419.4,2668.7,2731.1,OPERATION,Ru埋込み成長 膜厚(F4炉),Ru埋込み成長 膜厚(F4炉),,OK
T2-DML_QC,STARTTIME,XRayDiffraction_Strain,STARTTIME,1/1/2010,1/1/2100,-,-0.1,,,0.1,MOCVD,第二多層成長(DML) ポラロン InGaAs層歪量,第二多層成長(DML) ポラロン InGaAs層歪量,,OK
T2-DML_QC,STARTTIME,CarrierConcentration_Clad,STARTTIME,1/1/2010,1/1/2100,-,,,,,MOCVD,第二多層成長(DML) ポラロン p-InP clad.(2),第二多層成長(DML) ポラロン p-InP clad.(2),TRUE,OK
T2-DML_QC,STARTTIME,CarrierConcentration_Contact,STARTTIME,1/1/2010,1/1/2100,-,1.00E+19,,,2.00E+19,MOCVD,第二多層成長(DML) ポラロン p-InGaAsコンタクト,第二多層成長(DML) ポラロン p-InGaAsコンタクト,TRUE,OK
T2-DML_QC,STARTTIME,CarrierConcentration_Minimum,STARTTIME,1/1/2010,1/1/2100,-,,,,,MOCVD,第二多層成長(DML) ポラロン p-InGaAs Minimum,第二多層成長(DML) ポラロン p-InGaAs Minimum,TRUE,OK
T2-DML_QC,STARTTIME,Thickness_Clad,STARTTIME,1/1/2010,1/1/2100,-,1476,1558,1722,1804,MOCVD,第二多層成長(DML) SEM p-InP膜厚,第二多層成長(DML) SEM p-InP膜厚,,OK
T2-DML_QC,STARTTIME,Thickness_Contact,STARTTIME,1/1/2010,1/1/2100,-,234,,,286,MOCVD,第二多層成長(DML) SEM p-InGaAs膜厚,第二多層成長(DML) SEM p-InGaAs膜厚,,OK
T2-DML_QC,STARTTIME,Particles,STARTTIME,1/1/2010,1/1/2100,-,,,,146,MOCVD,第二多層成長(DML) 結晶異物,第二多層成長(DML) 結晶異物,,OK
EA-EML_F1,FORMAT1_STARTTIME,Dulation_Step17,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection 成長時間_下SCH_Q1.05,F1-EA Roop-Collection 成長時間_下SCH_Q1.05,,OK
EA-EML_F1,FORMAT1_STARTTIME,Dulation_Step21,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection 成長時間_MQWバリア,F1-EA Roop-Collection 成長時間_MQWバリア,,OK
EA-EML_F1,FORMAT1_STARTTIME,Dulation_Step25,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection 成長時間_MQWウェル,F1-EA Roop-Collection 成長時間_MQWウェル,,OK
EA-EML_F1,FORMAT1_STARTTIME,MO6-TEG_Step17,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection TEG(MO6)流量_SCH_Q1.05,F1-EA Roop-Collection TEG(MO6)流量_SCH_Q1.05,,OK
EA-EML_F1,FORMAT1_STARTTIME,MO6-TEG_Step21,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection TEG(MO6)流量_MQWバリア,F1-EA Roop-Collection TEG(MO6)流量_MQWバリア,,OK
EA-EML_F1,FORMAT1_STARTTIME,MO4-TEG_Step25,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection TEG(MO4)流量_MQWウェル,F1-EA Roop-Collection TEG(MO4)流量_MQWウェル,,OK
EA-EML_F1,FORMAT1_STARTTIME,AsH3-5percent_Step17,FORMAT1_STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,F1-EA Roop-Collection AsH3(5%)流量_SCH_n-Q1.05,F1-EA Roop-Collection AsH3(5%)流量_SCH_n-Q1.05,,OK
