SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,7/25/2021,HL13BE,1.51,1.52,1.59,1.61,-,メサ形成 MESAEB描画ホト パターン幅_HL13BE,メサ形成 MESAEB描画ホト パターン幅_HL13BE,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,9/2/2021,1/1/2100,HL13BE,1.49,1.5,1.58,1.59,-,メサ形成 MESAEB描画ホト パターン幅_HL13BE,メサ形成 MESAEB描画ホト パターン幅_HL13BE,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,7/25/2021,HL13BFCP,1.51,1.52,1.59,1.61,-,メサ形成 MESAEB描画ホト パターン幅_HL13BFCP,メサ形成 MESAEB描画ホト パターン幅_HL13BFCP,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,9/2/2021,1/1/2100,HL13BFCP,1.49,1.5,1.58,1.59,-,メサ形成 MESAEB描画ホト パターン幅_HL13BFCP,メサ形成 MESAEB描画ホト パターン幅_HL13BFCP,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,7/25/2021,HL13BS,1.51,1.52,1.59,1.61,-,メサ形成 MESAEB描画ホト パターン幅_HL13BS,メサ形成 MESAEB描画ホト パターン幅_HL13BS,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,9/2/2021,1/1/2100,HL13BS,1.49,1.5,1.58,1.59,-,メサ形成 MESAEB描画ホト パターン幅_HL13BS,メサ形成 MESAEB描画ホト パターン幅_HL13BS,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,7/25/2021,HL13CG,1.51,1.52,1.59,1.61,-,メサ形成 MESAEB描画ホト パターン幅_HL13CG,メサ形成 MESAEB描画ホト パターン幅_HL13CG,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,9/2/2021,1/1/2100,HL13CG,1.49,1.5,1.58,1.59,-,メサ形成 MESAEB描画ホト パターン幅_HL13CG,メサ形成 MESAEB描画ホト パターン幅_HL13CG,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,1/1/2100,HTL139S,1.59,1.6,1.68,1.69,-,メサ形成 MESAEB描画ホト パターン幅_HTL139S,メサ形成 MESAEB描画ホト パターン幅_HTL139S,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,5/28/2021,HL13B4,1.42,1.43,1.51,1.52,-,メサ形成 MESAEB描画ホト パターン幅_HL13B4,メサ形成 MESAEB描画ホト パターン幅_HL13B4,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,5/29/2021,1/1/2100,HL13B4,1.75,1.76,1.84,1.85,-,メサ形成 MESAEB描画ホト パターン幅_HL13B4,メサ形成 MESAEB描画ホト パターン幅_HL13B4,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,5/28/2021,HL13B5,1.42,1.43,1.51,1.52,-,メサ形成 MESAEB描画ホト パターン幅_HL13B5,メサ形成 MESAEB描画ホト パターン幅_HL13B5,,OK
